EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator,State
750000.0625,750000.0625,699300.0,645532.375,-750000.125,750000.0625,-750000.125,750000.0625,-0.039794921875,0.95703125,0.14990234375,0.0,0.0,0.0,46.66667175292969,1.0,1.0,WarmUp
750000.0625,424860.46875,750000.0625,750000.0625,-373084.4375,750000.0625,-750000.125,750000.0625,-0.048095703125,0.970947265625,0.139404296875,0.0,0.0,0.0,46.66667175292969,2.0,1.0,WarmUp
680408.875,192819.484375,750000.0625,750000.0625,-271343.03125,750000.0625,-549791.3125,594286.125,-0.048583984375,0.975830078125,0.135498046875,0.0,0.0,0.0,46.66667175292969,3.0,1.0,WarmUp
630640.9375,248145.859375,740868.125,750000.0625,-750000.125,750000.0625,504254.3125,466360.78125,-0.049072265625,0.976318359375,0.132080078125,0.0,0.0,0.0,46.66667175292969,4.0,1.0,WarmUp
581430.6875,414718.5625,750000.0625,747649.25,-750000.125,607293.875,750000.0625,502749.21875,-0.04931640625,0.977294921875,0.1337890625,0.0,0.0,0.0,46.66667175292969,5.0,1.0,WarmUp
482093.96875,690087.625,750000.0625,700064.1875,-136802.703125,580915.3125,750000.0625,447635.09375,-0.0478515625,0.977783203125,0.139892578125,0.0,0.0,0.0,46.66667175292969,6.0,1.0,WarmUp
400904.125,746150.6875,750000.0625,693385.6875,361565.21875,183111.578125,750000.0625,203536.96875,-0.0498046875,0.976806640625,0.138427734375,-5.493163585662842,-4.516601085662842,-4.241942882537842,46.66667175292969,7.0,1.0,WarmUp
722599.3125,750000.0625,750000.0625,750000.0625,695161.625,93470.2578125,750000.0625,319138.75,-0.049560546875,0.97509765625,0.138427734375,-1.8920897245407104,-1.9836424589157104,-1.4953612089157104,46.66667175292969,8.0,1.0,WarmUp
750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,-0.051513671875,0.976318359375,0.139404296875,-1.0681151151657104,-1.4343260526657104,-0.8544921278953552,46.66667175292969,9.0,1.0,WarmUp
750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,-0.053955078125,0.97900390625,0.138671875,-0.7019042372703552,-1.2512205839157104,-0.6103515028953552,46.66667175292969,10.0,1.0,WarmUp
750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,-0.05517578125,0.97998046875,0.137451171875,-0.6713866591453552,-1.2207030057907104,-0.5798339247703552,46.66667175292969,11.0,1.0,WarmUp
750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,-0.0576171875,0.98095703125,0.13671875,-0.7934569716453552,-1.2207030057907104,-0.6103515028953552,46.66667175292969,12.0,1.0,WarmUp
750000.0625,750000.0625,750000.0625,750000.0625,660255.25,750000.0625,750000.0625,750000.0625,-0.059326171875,0.97998046875,0.136474609375,-0.9155272841453552,-1.3122557401657104,-0.7324218153953552,46.66667175292969,13.0,1.0,WarmUp
750000.0625,750000.0625,750000.0625,750000.0625,584521.0625,750000.0625,750000.0625,750000.0625,-0.060546875,0.9794921875,0.13818359375,-1.0375975370407104,-1.3732908964157104,-0.7934569716453552,46.66667175292969,14.0,1.0,WarmUp
750000.0625,750000.0625,750000.0625,750000.0625,524561.875,750000.0625,750000.0625,750000.0625,-0.05908203125,0.978515625,0.1376953125,-1.0375975370407104,-1.5563963651657104,-0.8544921278953552,46.66667175292969,15.0,1.0,WarmUp
750000.0625,750000.0625,750000.0625,750000.0625,471787.15625,750000.0625,687372.125,750000.0625,-0.060302734375,0.9794921875,0.1357421875,-1.1291502714157104,-1.6479490995407104,-0.9460448622703552,46.66667175292969,16.0,1.0,WarmUp
750000.0625,750000.0625,750000.0625,750000.0625,425276.46875,750000.0625,606982.5625,750000.0625,-0.05859375,0.977294921875,0.1376953125,-1.0986326932907104,-1.8005369901657104,-1.0375975370407104,46.66667175292969,17.0,1.0,WarmUp
710035.8125,750000.0625,750000.0625,750000.0625,385424.90625,750000.0625,539700.125,750000.0625,-0.05810546875,0.978759765625,0.135498046875,-1.0070799589157104,-1.9226073026657104,-1.0681151151657104,46.66667175292969,18.0,1.0,WarmUp
618715.875,694337.375,750000.0625,750000.0625,351009.65625,668977.8125,482184.90625,680712.0625,-0.05908203125,0.97900390625,0.1376953125,-0.8239745497703552,-2.014159917831421,-1.1596678495407104,46.66667175292969,19.0,1.0,WarmUp
556214.1875,623404.125,750000.0625,750000.0625,328922.21875,604839.5,443693.6875,613340.5,-0.057373046875,0.982177734375,0.138671875,-0.8239745497703552,-2.044677495956421,-1.0070799589157104,46.66667175292969,20.0,1.0,WarmUp
532281.1875,596247.9375,750000.0625,750000.0625,325083.15625,579654.875,433067.65625,588410.125,-0.054443359375,0.981689453125,0.139892578125,-0.9155272841453552,-2.075195074081421,-0.9460448622703552,46.66667175292969,21.0,1.0,WarmUp
517003.90625,578994.8125,750000.0625,750000.0625,324162.1875,563242.4375,427808.21875,572820.0625,-0.053466796875,0.97900390625,0.138916015625,-1.0070799589157104,-1.9836424589157104,-0.8850097060203552,46.66667175292969,22.0,1.0,WarmUp
503562.75,563588.4375,750000.0625,750000.0625,323903.4375,550387.4375,423292.78125,558892.3125,-0.052978515625,0.978759765625,0.13720703125,-0.9460448622703552,-2.075195074081421,-0.7934569716453552,46.66667175292969,23.0,1.0,WarmUp
491542.40625,549584.8125,750000.0625,750000.0625,324534.75,540338.1875,419576.5,546260.0,-0.054443359375,0.977783203125,0.1396484375,-1.0375975370407104,-1.9836424589157104,-0.7934569716453552,46.66667175292969,24.0,1.0,WarmUp
480092.59375,536407.1875,750000.0625,750000.0625,324505.3125,529853.5625,415631.5,534298.25,-0.053466796875,0.980224609375,0.138427734375,-0.9765624403953552,-1.9531248807907104,-0.7019042372703552,46.66667175292969,25.0,1.0,WarmUp
468826.625,523823.78125,750000.0625,750000.0625,322926.9375,517552.96875,410820.53125,522685.5625,-0.053955078125,0.981689453125,0.14208984375,-0.8850097060203552,-2.014159917831421,-0.5798339247703552,46.66667175292969,26.0,1.0,WarmUp
458278.46875,512143.125,750000.0625,750000.0625,320748.53125,505585.84375,405832.96875,511791.3125,-0.052734375,0.98291015625,0.141845703125,-0.8239745497703552,-1.9836424589157104,-0.4272460639476776,46.66667175292969,27.0,1.0,WarmUp
449025.46875,501612.34375,750000.0625,750000.0625,319458.375,496461.40625,401675.71875,501974.0625,-0.052978515625,0.98193359375,0.14013671875,-0.8239745497703552,-2.014159917831421,-0.2441406100988388,46.66667175292969,28.0,1.0,WarmUp
440785.8125,491986.78125,750000.0625,750000.0625,319136.0,489655.65625,398358.1875,493039.1875,-0.05322265625,0.9833984375,0.14111328125,-0.7629393935203552,-1.9836424589157104,-0.1525878757238388,46.66667175292969,29.0,1.0,WarmUp
432751.875,482785.1875,750000.0625,750000.0625,318435.5625,482275.03125,394911.1875,484503.0625,-0.053466796875,0.9814453125,0.1416015625,-0.7629393935203552,-1.9226073026657104,-0.0610351525247097,46.66667175292969,30.0,1.0,WarmUp
424653.75,473832.6875,750000.0625,750000.0625,316497.5,473048.6875,390740.78125,476064.90625,-0.053466796875,0.98193359375,0.14404296875,-0.7629393935203552,-1.8005369901657104,0.0,46.66667175292969,31.0,1.0,WarmUp
417015.4375,465453.375,750000.0625,750000.0625,314131.53125,463929.34375,386436.125,468081.40625,-0.053466796875,0.98095703125,0.140869140625,-0.8544921278953552,-1.8920897245407104,0.0915527269244194,46.66667175292969,32.0,1.0,WarmUp
410366.25,457914.40625,750000.0625,750000.0625,312645.125,457258.25,382902.375,460914.71875,-0.05419921875,0.97802734375,0.143310546875,-0.7934569716453552,-1.8310545682907104,0.2746581733226776,46.66667175292969,33.0,1.0,WarmUp
404483.8125,451024.15625,750000.0625,750000.0625,312119.59375,452568.125,380158.40625,454431.0,-0.05419921875,0.980224609375,0.14501953125,-0.7019042372703552,-1.7700194120407104,0.2441406100988388,46.66667175292969,34.0,1.0,WarmUp
398645.96875,444328.90625,750000.0625,750000.0625,311316.28125,447233.21875,377314.90625,448154.375,-0.053466796875,0.9794921875,0.145263671875,-0.6713866591453552,-1.6784666776657104,0.2746581733226776,46.66667175292969,35.0,1.0,WarmUp
392618.25,437709.125,750000.0625,750000.0625,309432.28125,440099.6875,373816.40625,441845.375,-0.052490234375,0.97802734375,0.1455078125,-0.7019042372703552,-1.5563963651657104,0.3356933295726776,46.66667175292969,36.0,1.0,WarmUp
386912.5625,431484.875,750000.0625,750000.0625,307191.125,432950.28125,370199.09375,435850.625,-0.0537109375,0.979248046875,0.143310546875,-0.6713866591453552,-1.4648436307907104,0.3356933295726776,46.66667175292969,37.0,1.0,WarmUp
