EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator,State
750000.0625,750000.0625,750000.0625,676607.25,-334477.6875,750000.0625,746653.0625,750000.0625,0.02294921875,0.96826171875,-0.03369140625,0.0,0.0,0.0,46.66667175292969,1.0,1.0,WarmUp
697197.0625,329870.71875,750000.0625,750000.0625,-291413.9375,750000.0625,325193.9375,750000.0625,0.017578125,0.9794921875,-0.04345703125,0.0,0.0,0.0,46.66667175292969,2.0,1.0,WarmUp
563422.125,141809.484375,750000.0625,750000.0625,-225883.875,750000.0625,366692.46875,750000.0625,0.018310546875,0.9833984375,-0.046142578125,0.0,0.0,0.0,46.66667175292969,3.0,1.0,WarmUp
529992.6875,217226.59375,603876.5,735641.125,-90371.953125,689142.875,286119.875,750000.0625,0.019775390625,0.986328125,-0.05126953125,0.0,0.0,0.0,46.66667175292969,4.0,1.0,WarmUp
483326.53125,417818.75,750000.0625,690416.5625,95148.6953125,625318.0625,93856.6796875,750000.0625,0.021728515625,0.984375,-0.05078125,0.0,0.0,0.0,46.66667175292969,5.0,1.0,WarmUp
358976.90625,706027.625,750000.0625,743388.3125,238797.375,465581.21875,134850.40625,750000.0625,0.023193359375,0.98388671875,-0.052490234375,0.0,0.0,0.0,46.66667175292969,6.0,1.0,WarmUp
410912.15625,750000.0625,750000.0625,750000.0625,324941.90625,72348.3984375,386695.21875,750000.0625,0.02197265625,0.984619140625,-0.053955078125,-3.570556402206421,-5.096435070037842,-6.286620616912842,46.66667175292969,7.0,1.0,WarmUp
728929.125,750000.0625,750000.0625,750000.0625,389651.625,591401.625,401048.0625,750000.0625,0.021728515625,0.98388671875,-0.055419921875,-1.1596678495407104,-2.166747808456421,-1.7395018339157104,46.66667175292969,8.0,1.0,WarmUp
750000.0625,750000.0625,750000.0625,750000.0625,609181.5625,750000.0625,552019.4375,750000.0625,0.023681640625,0.982421875,-0.05419921875,-0.4577636420726776,-1.3732908964157104,-0.5798339247703552,46.66667175292969,9.0,1.0,WarmUp
750000.0625,750000.0625,750000.0625,750000.0625,678812.875,750000.0625,750000.0625,750000.0625,0.021240234375,0.98193359375,-0.057373046875,-0.1831054538488388,-1.1291502714157104,-0.03051757626235485,46.66667175292969,10.0,1.0,WarmUp
750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,0.018310546875,0.98046875,-0.0546875,-0.03051757626235485,-1.0375975370407104,0.0915527269244194,46.66667175292969,11.0,1.0,WarmUp
750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,694722.375,0.02001953125,0.979248046875,-0.054931640625,-0.03051757626235485,-0.9155272841453552,0.2136230319738388,46.66667175292969,12.0,1.0,WarmUp
750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,564312.8125,0.01953125,0.979248046875,-0.05517578125,0.0915527269244194,-0.7934569716453552,0.2136230319738388,46.66667175292969,13.0,1.0,WarmUp
750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,470986.6875,0.0205078125,0.982421875,-0.054443359375,0.1525878757238388,-0.6713866591453552,0.1831054538488388,46.66667175292969,14.0,1.0,WarmUp
750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,397997.25,0.02001953125,0.983154296875,-0.05322265625,0.1525878757238388,-0.6713866591453552,0.2441406100988388,46.66667175292969,15.0,1.0,WarmUp
750000.0625,742274.5625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,339792.5,0.02099609375,0.984619140625,-0.057861328125,0.1831054538488388,-0.6103515028953552,0.1831054538488388,46.66667175292969,16.0,1.0,WarmUp
671959.125,634564.625,750000.0625,750000.0625,750000.0625,651995.875,750000.0625,294056.6875,0.021240234375,0.985107421875,-0.055908203125,0.1220703050494194,-0.5493163466453552,0.0915527269244194,46.66667175292969,17.0,1.0,WarmUp
590740.625,558205.875,750000.0625,750000.0625,750000.0625,575145.75,750000.0625,262562.375,0.020263671875,0.988037109375,-0.054931640625,0.0915527269244194,-0.3662109076976776,0.1831054538488388,46.66667175292969,18.0,1.0,WarmUp
558463.0,527624.1875,750000.0625,750000.0625,750000.0625,545286.8125,750000.0625,251447.84375,0.01953125,0.987060546875,-0.054443359375,0.1525878757238388,-0.3967284858226776,0.1525878757238388,46.66667175292969,19.0,1.0,WarmUp
540268.875,509933.875,750000.0625,750000.0625,750000.0625,528450.1875,750000.0625,244935.703125,0.01904296875,0.987548828125,-0.0537109375,0.0610351525247097,-0.3662109076976776,0.1525878757238388,46.66667175292969,20.0,1.0,WarmUp
523926.0625,494266.65625,750000.0625,750000.0625,750000.0625,513147.71875,750000.0625,238707.96875,0.017333984375,0.98583984375,-0.05517578125,0.03051757626235485,-0.2746581733226776,-0.0610351525247097,46.66667175292969,21.0,1.0,WarmUp
